Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min_Salary,Max_Salary,Min_Emp,Max_emp
Sr Data Scientist,$137 -$171  (Glassdoor est.),3.1,Healthfirst,"New York, NY","New York, NY",1001to5000 ,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,2000000000.0,"EmblemHealth, UnitedHealth Group, Aetna",137000.0,171000.0,1001.0,5000.0
Data Scientist,$137 -$171  (Glassdoor est.),4.2,ManTech,"Chantilly, VA","Herndon, VA",5001to10000 ,1968.0,Company - Public,Research & Development,Business Services,2000000000.0,,137000.0,171000.0,5001.0,10000.0
Data Scientist,$137 -$171  (Glassdoor est.),3.8,Analysis Group,"Boston, MA","Boston, MA",1001to5000 ,1981.0,Private Practice / Firm,Consulting,Business Services,500000000.0,,137000.0,171000.0,1001.0,5000.0
Data Scientist,$137 -$171  (Glassdoor est.),3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501to1000 ,2000.0,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,500000000.0,"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",137000.0,171000.0,501.0,1000.0
Data Scientist,$137 -$171  (Glassdoor est.),2.9,Affinity Solutions,"New York, NY","New York, NY",51to200 ,1998.0,Company - Private,Advertising & Marketing,Business Services,875000000.0,"Commerce Signals, Cardlytics, Yodlee",137000.0,171000.0,51.0,200.0
Data Scientist,$137 -$171  (Glassdoor est.),4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51to200 ,2010.0,Company - Private,Computer Hardware & Software,Information Technology,1250000000.0,,137000.0,171000.0,51.0,200.0
Data Scientist / Machine Learning Expert,$137 -$171  (Glassdoor est.),3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ ,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1625000000.0,,137000.0,171000.0,10000.0,
Data Scientist,$137 -$171  (Glassdoor est.),3.5,iRobot,"Bedford, MA","Bedford, MA",1001to5000 ,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,2000000000.0,,137000.0,171000.0,1001.0,5000.0
Staff Data Scientist - Analytics,$137 -$171  (Glassdoor est.),4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001to10000 ,1983.0,Company - Public,Computer Hardware & Software,Information Technology,5000000000.0,"Square, PayPal, H&R Block",137000.0,171000.0,5001.0,10000.0
Data Scientist,$137 -$171  (Glassdoor est.),3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51to200 ,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,2750000000.0,,137000.0,171000.0,51.0,200.0
Data Scientist,$137 -$171  (Glassdoor est.),4.5,Novetta,"Herndon, VA","Mc Lean, VA",501to1000 ,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,500000000.0,"Leidos, CACI International, Booz Allen Hamilton",137000.0,171000.0,501.0,1000.0
Data Scientist,$137 -$171  (Glassdoor est.),4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51to200 ,2016.0,Company - Private,IT Services,Information Technology,750000000.0,"Slalom, Daugherty Business Solutions",137000.0,171000.0,51.0,200.0
"Data Scientist - Statistics, Early Career",$137 -$171  (Glassdoor est.),3.7,PNNL,"Richland, WA","Richland, WA",1001to5000 ,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",1000000000.0,"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",137000.0,171000.0,1001.0,5000.0
Data Modeler,$137 -$171  (Glassdoor est.),3.1,Old World Industries,"Northbrook, IL","Northbrook, IL",201to500 ,1973.0,Company - Private,Chemical Manufacturing,Manufacturing,2000000000.0,,137000.0,171000.0,201.0,500.0
Data Scientist,$137 -$171  (Glassdoor est.),3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001to5000 ,1986.0,Company - Private,Consulting,Business Services,500000000.0,,137000.0,171000.0,1001.0,5000.0
